Compound,Date,Negative,Neutral,Organization,Positive,Tweets Ago
0.296,Tue Nov 05 02:00:55 +0000 2019,0.896,0.0,CBS,0.104,44
-0.34,Tue Nov 05 01:53:54 +0000 2019,0.426,0.362,CBS,0.213,45
0.0,Tue Nov 05 01:50:51 +0000 2019,1.0,0.0,CBS,0.0,46
0.5499,Tue Nov 05 01:47:33 +0000 2019,0.756,0.0,CBS,0.244,47
0.0,Tue Nov 05 01:46:31 +0000 2019,1.0,0.0,CBS,0.0,48
0.128,Tue Nov 05 01:44:59 +0000 2019,0.909,0.0,CBS,0.091,49
0.0,Tue Nov 05 01:42:50 +0000 2019,1.0,0.0,CBS,0.0,50
0.0,Tue Nov 05 01:40:54 +0000 2019,1.0,0.0,CBS,0.0,51
0.0,Tue Nov 05 01:40:02 +0000 2019,1.0,0.0,CBS,0.0,52
0.0,Tue Nov 05 01:37:52 +0000 2019,1.0,0.0,CBS,0.0,53
0.0,Tue Nov 05 01:37:01 +0000 2019,1.0,0.0,CBS,0.0,54
0.0,Tue Nov 05 01:35:49 +0000 2019,1.0,0.0,CBS,0.0,55
0.0,Tue Nov 05 01:34:13 +0000 2019,1.0,0.0,CBS,0.0,56
-0.3089,Tue Nov 05 01:33:06 +0000 2019,0.78,0.22,CBS,0.0,57
0.6113,Tue Nov 05 01:31:15 +0000 2019,0.637,0.0,CBS,0.363,58
0.0,Tue Nov 05 01:30:00 +0000 2019,1.0,0.0,CBS,0.0,59
0.0,Tue Nov 05 00:38:52 +0000 2019,1.0,0.0,CBS,0.0,60
0.2263,Tue Nov 05 02:09:15 +0000 2019,0.881,0.0,CBS,0.119,61
0.0,Tue Nov 05 02:01:51 +0000 2019,1.0,0.0,CBS,0.0,62
0.4939,Tue Nov 05 02:01:33 +0000 2019,0.714,0.0,CBS,0.286,63
0.296,Tue Nov 05 02:00:55 +0000 2019,0.896,0.0,CBS,0.104,64
-0.34,Tue Nov 05 01:53:54 +0000 2019,0.426,0.362,CBS,0.213,65
0.0,Tue Nov 05 01:50:51 +0000 2019,1.0,0.0,CBS,0.0,66
0.5499,Tue Nov 05 01:47:33 +0000 2019,0.756,0.0,CBS,0.244,67
0.0,Tue Nov 05 01:46:31 +0000 2019,1.0,0.0,CBS,0.0,68
0.128,Tue Nov 05 01:44:59 +0000 2019,0.909,0.0,CBS,0.091,69
0.0,Tue Nov 05 01:42:50 +0000 2019,1.0,0.0,CBS,0.0,70
0.0,Tue Nov 05 01:40:54 +0000 2019,1.0,0.0,CBS,0.0,71
0.0,Tue Nov 05 01:40:02 +0000 2019,1.0,0.0,CBS,0.0,72
0.0,Tue Nov 05 01:37:52 +0000 2019,1.0,0.0,CBS,0.0,73
0.0,Tue Nov 05 01:37:01 +0000 2019,1.0,0.0,CBS,0.0,74
0.0,Tue Nov 05 01:35:49 +0000 2019,1.0,0.0,CBS,0.0,75
0.0,Tue Nov 05 01:34:13 +0000 2019,1.0,0.0,CBS,0.0,76
-0.3089,Tue Nov 05 01:33:06 +0000 2019,0.78,0.22,CBS,0.0,77
0.6113,Tue Nov 05 01:31:15 +0000 2019,0.637,0.0,CBS,0.363,78
0.0,Tue Nov 05 01:30:00 +0000 2019,1.0,0.0,CBS,0.0,79
0.0,Tue Nov 05 00:38:52 +0000 2019,1.0,0.0,CBS,0.0,80
0.2263,Tue Nov 05 02:09:15 +0000 2019,0.881,0.0,CBS,0.119,81
0.0,Tue Nov 05 02:01:51 +0000 2019,1.0,0.0,CBS,0.0,82
0.4939,Tue Nov 05 02:01:33 +0000 2019,0.714,0.0,CBS,0.286,83
0.296,Tue Nov 05 02:00:55 +0000 2019,0.896,0.0,CBS,0.104,84
-0.34,Tue Nov 05 01:53:54 +0000 2019,0.426,0.362,CBS,0.213,85
0.0,Tue Nov 05 01:50:51 +0000 2019,1.0,0.0,CBS,0.0,86
0.5499,Tue Nov 05 01:47:33 +0000 2019,0.756,0.0,CBS,0.244,87
0.0,Tue Nov 05 01:46:31 +0000 2019,1.0,0.0,CBS,0.0,88
0.128,Tue Nov 05 01:44:59 +0000 2019,0.909,0.0,CBS,0.091,89
0.0,Tue Nov 05 01:42:50 +0000 2019,1.0,0.0,CBS,0.0,90
